Month,AvgTone,GoldsteinScale,S_VC,S_PC,S_VF,S_PF,Ct,Pt
2018-01-01,-2.07753133490906,0.515572666668977,0.6086383950826,0.116441690399712,0.133077363226134,0.141842551291555,0.274919914517688,0.258284241691267
2018-02-01,-2.0853242888192,0.482080416748453,0.609336396302375,0.115224955041676,0.12984971674497,0.145588931910979,0.275438648655949,0.260813886952655
2018-03-01,-1.90637478193938,0.560920449263423,0.616884334562435,0.114461547179225,0.131785179278583,0.136868938979757,0.26865411825834,0.251330486158982
2018-04-01,-2.03949583295751,0.477737157949186,0.610791306127277,0.112779662480686,0.132443194511979,0.143985836880058,0.276429031392037,0.256765499360745
2018-05-01,-1.84188951188209,0.651394199643391,0.62106399189707,0.116163394585209,0.126459780360694,0.136312833157028,0.262772613517721,0.252476227742237
2018-06-01,-1.840061207329,0.698245297714941,0.622157541487937,0.117130147586567,0.126962766332354,0.133749544593142,0.260712310925496,0.250879692179709
2018-07-01,-2.00081594560233,0.590068031835894,0.612727464037158,0.118350143550739,0.129327942038571,0.139594450373533,0.268922392412103,0.257944593924271
2018-08-01,-2.1543777368235,0.534980045734378,0.609322728599124,0.117979906757919,0.129196677172899,0.143500687470058,0.272697364642956,0.261480594227977
2018-09-01,-2.04152694639905,0.623202828161287,0.621788124064656,0.113462587167476,0.12934028430586,0.135409004462007,0.264749288767868,0.248871591629483
2018-10-01,-1.89603385500752,0.597976911192686,0.619214706941112,0.11628377987385,0.128353187232882,0.136148325952157,0.264501513185038,0.252432105826007
2018-11-01,-1.9287183344989,0.579842741335553,0.618636920157692,0.114561769331773,0.127357026214962,0.139444284295573,0.266801310510535,0.254006053627346
2018-12-01,-2.06000540175584,0.591629862551322,0.607338971950585,0.120444745469235,0.130217866692042,0.141998415888138,0.27221628258018,0.262443161357373
2019-01-01,-2.09292068209239,0.593472547930436,0.61229676171302,0.117646194286995,0.131728805313627,0.138328238686359,0.270057043999986,0.255974432973353
2019-02-01,-1.99933799174253,0.635648136820063,0.621151369414034,0.1131655331847,0.131313474053481,0.134369623347785,0.265683097401266,0.247535156532485
2019-03-01,-2.06617060722529,0.530690100361544,0.612755674881221,0.113704179451906,0.132521051642442,0.141019094024431,0.273540145666873,0.254723273476337
2019-04-01,-2.04249773731366,0.568984430073336,0.615063664708974,0.115226811569639,0.130029607671833,0.139679916049554,0.269709523721387,0.254906727619193
2019-05-01,-2.00082399025481,0.574734412001575,0.614445024702966,0.116318135773588,0.12851250220136,0.140724337322086,0.269236839523446,0.257042473095674
2019-06-01,-2.01511631433072,0.600759967892309,0.621543131209585,0.113149999967539,0.127949238484209,0.137357630338666,0.265306868822875,0.250507630306206
2019-07-01,-2.11321570774748,0.573615892288809,0.612891013663777,0.116884984115357,0.132150845948584,0.138073156272283,0.270224002220866,0.25495814038764
2019-08-01,-2.24582270817014,0.480377848868811,0.611021059734161,0.113610216631649,0.130633766889205,0.144734956744985,0.275368723634189,0.258345173376634
2019-09-01,-2.05112598180265,0.671405403418901,0.628266671118551,0.112772464682752,0.128266561285868,0.130694302912829,0.258960864198697,0.24346676759558
2019-10-01,-2.02670010849169,0.619811936684048,0.617705399244293,0.116295787402804,0.129597060446138,0.136401752906765,0.265998813352903,0.252697540309569
2019-11-01,-1.98744985581707,0.587580466993718,0.615599070103906,0.117967882905853,0.129632734063325,0.136800312926916,0.266433046990241,0.254768195832769
2019-12-01,-2.20691061099277,0.48939477262791,0.603737731588448,0.117186799999597,0.135241713757031,0.143833754654924,0.279075468411955,0.261020554654521
2020-01-01,-2.29595418084812,0.49722151212157,0.614592279467778,0.111098738152285,0.131173985150509,0.143134997229428,0.274308982379936,0.254233735381713
2020-02-01,-2.13683787574435,0.606940942241573,0.623424311608044,0.113016477404955,0.123827932805448,0.139731278181553,0.263559210987001,0.252747755586508
2020-03-01,-2.19657247407026,0.837046371750928,0.646291894252178,0.115289878737267,0.109805398797099,0.128612828213456,0.238418227010555,0.243902706950723
2020-04-01,-2.18458857037635,0.976046005269213,0.622951192146773,0.144478754285875,0.118533589683389,0.114036463883963,0.232570053567352,0.258515218169838
2020-05-01,-2.23089688518328,0.720111637178352,0.609956830882045,0.134213988737435,0.129853084655463,0.125976095725056,0.25582918038052,0.260190084462491
2020-06-01,-2.56136978734553,0.376078180897582,0.58833642984173,0.121526363374432,0.150944103883717,0.13919310290012,0.290137206783837,0.260719466274553
2020-07-01,-2.32396610672097,0.535520042760254,0.602358311875973,0.122857741112708,0.139764168812403,0.135019778198917,0.27478394701132,0.257877519311625
2020-08-01,-2.25140449140947,0.591082532277043,0.610216442123466,0.121782138962707,0.135045989979906,0.132955428933922,0.268001418913827,0.254737567896628
2020-09-01,-2.15482442966911,0.601488171718446,0.614135819136219,0.117738346232205,0.13592593772506,0.132199896906517,0.268125834631577,0.249938243138721
2020-10-01,-2.2259064900713,0.567538501193308,0.616201561059572,0.11297500127938,0.139662503216469,0.13116093444458,0.270823437661049,0.24413593572396
2020-11-01,-1.93092682164452,0.682955072214001,0.620165834307076,0.119980372669774,0.133761502987762,0.126092290035387,0.259853793023149,0.246072662705162
2020-12-01,-1.88424075139454,0.676846728816577,0.614295959734772,0.123247537411227,0.129954012044231,0.132502490809771,0.262456502854002,0.255750028220997
2021-01-01,-2.17491532686268,0.52767951130009,0.603764009479605,0.117759276783377,0.140230997265316,0.138245716471702,0.278476713737018,0.256004993255079
2021-02-01,-2.05973277451454,0.605693686085067,0.609259199230079,0.122306541657238,0.133934671862839,0.134499587249844,0.268434259112683,0.256806128907082
